科目,名称(氏名),所在地(住所),期末現在高,摘要
売掛金,久保工業(株),埼玉県三郷市半田218-6,1149555,
〃,(株)大森精工,東京都大田区大森東3-27-8,925914,
〃,フジモリ産業(株)関東工場,茨城県石岡市柏原6-3,2809493,
〃,(株)タカシマ,東京都千代田区岩本町2-8-13,2645622,
〃,鹿児島スパイラル(株),鹿児島県鹿児島市東買開町4-10,123711,
〃,(株)トーエイ,愛知県北名古屋市熊之庄牛流58,198545,
〃,パナソニックサイクルテック(株),大阪府柏原市片山町13-13,4664031,
〃,(株)ナカサ,島根県安芸市恵乃島113-15,165000,
〃,(株)栗本鐵工所,茨城県古河市丘里10-6,2021684,
〃,(株)タイコウ仙台,宮城県宮城郡七ヶ浜町東宮浜宇笠岩16-45,1201904,
〃,東洋アルチタイト産業(株),埼玉県さいたま市北区本郷町142,4951164,
〃,その他39件,,54482693,
,売掛金計,,196695660,
未収入金,STP(株),"chemdangieop 5-ro BONGAN-RI,SAMYEON,GYEONGANGBUK-DO,KOREA",23815911,配当金
,未収金計,,23815911,
計,,,220511571,
