科目,名称(氏名),所在地(住所),期末現在高,摘要
売掛金,(株)メディカルシステムズ,東京都文京区湯島2-17-15,9405,
〃,(有)高安医科,東京都文京区本郷1丁目28-36鳳明ビル305,7700,
〃,(株)アカイシ,東京都文京区本郷3丁目8-8,7370,
〃,(株)東京歯材社,東京都台東区下谷3-13-5TYセンタービル,7172,
〃,(株)カキヌマメディカル,東京都文京区本郷3-9-3,4180,
〃,(株)フジタ医科器械千葉支店,千葉県千葉市若葉区加曽利町263-1,3927,
〃,(株)アクセス,静岡県掛川市宮脇121-5,3740,
〃,いわしや本郷医療器(株),広島県広島市中区宝町7-1,3080,
〃,(株)アルゴ・コーポレーション,熊本県熊本市南区江越1丁目16-22,2640,
〃,G.SurgiwearLimited,"Post Box No.50,Passo1pur Johangan,Shahjahanpur,India",1080750,
〃,未計上消費税額,,1234276,
,売掛金計,,72535925,
未収入金,,,7276553,
〃,(株)栗原医療器械店,群馬県太田市清原町10-3,6064047,
,未収入金計,,13340600,
破産更生債権等,,,2,
,破産更生債権等,計,2,
計,,,85876527,
