"科目","名称(氏名)","所在地(住所)","期末現在高","摘要"
"売掛金","株式会社CASE","東京都渋谷区渋谷4-3-17","2994840",""
"〃","","","1000000",""
"〃","CASAFLINE","東京都目黒区中目黒3-6-4","45100",""
"〃","","","209000",""
"〃","","","388080",""
"〃","","","253000",""
"〃","株式会社キャラバン","東京都千代田区神田和泉町1-12-17","6193330",""
"〃","株式会社キーストン","東京都台東区台東4-6-5","1232000",""
"〃","有限会社キリンジ","東京都渋谷区神南1-2-5","360800",""
"〃","","","396467",""
"〃","株式会社グッドプランニング","千葉県船橋市宮本1-21-8","506768",""
"〃","株式会社クライマークス","東京都中央区銀座6-10-1","346225",""
"〃","有限会社グラインドハウス","東京都目黒区五本木1-38-5","4927000",""
"〃","株式会社グラント・イーワンズ","福井県福井市新田塚町305番地","1788985",""
"〃","有限会社ケイ・アイ・プロセス","東京都新宿区榎町75-12","1",""
"〃","株式会社啓文堂","東京都新宿区水道町4-24","124960",""
"〃","株式会社K.E.G","東京都新宿区歌舞伎町1-1-19","520520",""
"〃","株式会社蹴人","東京都小平市小川町1-474-29","396000",""
"〃","ケンゾーエステイトワイナリージャパン株式会社","東京都中央区銀座6-10-1","414700",""
"〃","株式会社コーエー","茨城県取手市清水747","37400",""
"〃","株式会社コンシャスプレス","東京都港区南青山2-3-17-2C","1",""
"〃","株式会社コミュニケーションデザイン研究所","東京都港区元赤坂1-3-9","71500",""
"〃","国立国際美術館","大阪市北区中之島4-2-55","88000",""
"〃","","","5351500",""
"〃","株式会社コットンクラブジャパン","東京都千代田区丸の内2-7-3","181500",""
"〃","株式会社ゴールドウイン","東京都渋谷区松濤2-20-6","1369500",""
"計","","","",""
