科目,名称(氏名),所在地(住所),期末現在高,摘要
売掛金,(株)名古屋医理科商会,愛知県名古屋市千種区谷口町5-30,322443,
〃,カナヤ医科器械(株)山口東(営),山口県下松市潮音町4-1-7,316935,
〃,レジットメディカル(株),岩手県紫波郡矢巾町流通センター南1-7-7,296021,
〃,(株)フジタ医科器械,東京都文京区本郷3丁目6-1本郷渡辺ビル,266277,
〃,九州風雲堂販売(株),福岡県福岡市博多区上牟田1-11-31,261950,
〃,ハクゾウメディカル(株),大阪府大阪市中央区徳井町2-4-9,252780,
〃,ベルメディカルケア(株),静岡県静岡市清水区松原町5-22,239228,
〃,(株)フロンティア,東京都文京区白山2-30-5,221813,
〃,(株)安中集栄堂,長崎県長崎市桜町8-1,211929,
〃,アズワン(株),大阪市西区江戸堀2丁目1番27号,206932,
〃,(株)メディコ,群馬県高崎市箕郷町上芝18-1,200659,
〃,中嶋メディカルサプライ(株),茨城県那珂市福田1602-1,192999,
〃,(株)ムトウ大阪SPDセンター,大阪府門真市北岸和田1-9-18,188177,
〃,中日本メディカルリンク(株),長野県松本市丸の内8-1,187154,
〃,新日本カレンダー(株),大阪府大阪市東成区中道3-8-11ペピイ館4F,187110,
〃,マコト医科精機(株),山梨県中央市流通団地北5,182105,
〃,北畠医科器械(株),大阪府大阪市城東区中浜2-18-11,181684,
〃,(株)IMC,北海道札幌市東区北七条東3-28-32井門札幌東ビル8階,177194,
〃,ソルブ(株),神奈川県横浜市港北区新横浜2-2-15パレアナビル4F,165154,
〃,カナヤ医科器械(株)北九州(営),福岡県北九州市小倉南区下石田1-5-10,156700,
〃,セイコーメディカル(株),和歌山県和歌山市築港6丁目9番地10,142274,
〃,井上精機(株),岐阜県岐阜市玉宮町1丁目11,139750,
〃,タカイ医科工業(株),東京都文京区湯島2丁目31-25,133734,
〃,(株)ますだ医療商会,愛知県名古屋市中区千代田4丁目17-8,119168,
〃,日本メガケア(株)川越支店,埼玉県川越市大仙波443-1,118890,
〃,(株)レオクラン東海,岐阜県岐阜市日野南4-17-13,118745,
計,,,,
