"科目","名称(氏名)","所在地(住所)","期末現在高","摘要"
"売掛金","東海溶材(株)","静岡県静岡市清水区北脇242","69296700",""
"〃","パナソニックコネクト(株)","東京都中央区銀座8-21-1","33007388",""
"〃","豊田鉄工(株)","愛知県豊田市細谷町4-50","15490090",""
"〃","","","5318569",""
"〃","(株)長浜製作所","大阪府高槻市宮田町1-24-3","4116200",""
"〃","NewmanTechnology,","100CairnsRd,Mansfield,OH44903USA","1918000",""
"〃","秋田工業","愛知県知立市西町逢生13-1","1763300",""
"〃","エムケー商事","愛知県名古屋市熱田区花表町20-28","1760000",""
"〃","(株)松下商会","浜松市南区倉松町431-1","725450",""
"〃","その他","","1680404",""
"計","","","135076101",""
"未収入金","","","21615000",""
"〃","","","6040000",""
"〃","","","335470",""
"〃","イノ工業","浜松市東区北島町852","220000",""
"〃","その他","","82809",""
"計","","","28293279",""
"計","","","",""
