科目,名称(氏名),所在地(住所),期末現在高,摘要
売掛金,澤内建設(株),最上郡舟形町堀内336,"505,725",
同上,その他,,"49,174,325",
計,,,"234,112,654",
未収入金,日本キャタピラー(同)山形営業所,天童市石鳥居2-1-91,"693,000",
同上,住友建機販売(株)仙台支店,宮城県岩沼市末広1-5-20,"506,000",
同上,角田商事(株),寒河江市越井坂町38-1,"104,335",
同上,山形県村山総合支庁,山形市鉄砲町2-19-68,"43,800",法人事業税・特別法人事業税還付金
同上,成沢製油(株),新潟県新潟市松島2-3-47,"8,250",
同上,寒河江市役所,寒河江市中央1-9-45,"5,100",法人市民税還付金
同上,南陽市役所,南陽市三間通436-1,"2,600",同上
同上,山形県村山総合支庁,山形市鉄砲町2-19-68,"1,900",法人県民税還付金
同上,新庄市役所,新庄市沖の町10-37,"1,300",法人市民税還付金
計,,,"1,366,285",
合計,,,"235,478,939",
