科目,相手先名称(氏名),相手先所在地(住所),期末現在高,摘要
売掛金,秋山興業(株),札幌市中央区北1条東13丁目1,396,
,,売掛金計,172471230,
電子記録債権,渡辺パイプ(株)札幌西住設,札幌市西区西野6条9丁目1-1,49531328,
〃,(株)札幌山水,札幌市西区八軒9条西5丁目2-12,5562247,
〃,(株)丹波屋,札幌市白石区菊水元町9条2丁目3-13,3943705,
〃,潮産業(株),札幌市中央区南7条西16丁目1-20,2711808,
〃,北日本産商(株),札幌市東区東雁来4条1丁目1-40,2391576,
〃,(株)サンユー,札幌市北区北9条西3丁目10-1,2031961,
〃,(株)村田塗料店,札幌市北区新川西2条1丁目1-14,701813,
〃,(株)ヤマチコーポレーション,札幌市中央区北1条西10丁目1-17,625582,
〃,(株)カンエツ札幌営業所,石狩市新港西1丁目717-3,187000,
〃,橋本総業(株),札幌市白石区中央3条3丁目1-1,141777,
〃,(株)ニヘイ,札幌市西区宮の沢1条1丁目1-30,133122,
,,電子記録債権計,67961919,
未収入金,アイカ工業(株),札幌市白石区東札幌3条1丁目2-22,1931518,リベート
〃,高島(株),札幌市中央区北1条西4丁目1-2,158775,リベート
〃,SMB建材(株),札幌市中央区大通西8-2,115776,リベート
,,未収入金計,2206069,
計,,,242639218,
