科目,名称(氏名),所在地(住所),期末現在高,摘要
売掛金,九州風雲堂販売(株),福岡県福岡市博多区上牟田1-11-31,264493,
〃,ソルブ(株),神奈川県横浜市港北区新横浜2-2-15パレアナビル4F,261382,
〃,クロスウィルメデイカル(株),新潟市東区紫竹卸新町1808番地22,233909,
〃,ベルメディカルケア(株),静岡県静岡市清水区松原町5-22,230989,
〃,(株)バイオメディカル,大分県由布市挾間町古野塚ノ久保1100-3,226600,
〃,(株)三輪器械,愛知県名古屋市中区丸の内3丁目23-16,225434,
〃,新日本カレンダー(株),大阪府大阪市東成区中道3-8-11ペピイ館4F,209561,
〃,アズワン(株),大阪市西区江戸堀2丁目1番27号,207262,
〃,タカイ医科工業(株),東京都文京区湯島2丁目31-25,200474,
〃,(株)常光,北海道札幌市中央区北5条西13丁目,200080,
〃,(株)IMC,北海道札幌市東区北七条東3-28-32井門札幌東ビル8階,198182,
〃,マコト医科精機(株),山梨県中央市流通団地北5,196779,
〃,(株)フロンティア,東京都文京区白山2-30-5,196027,
〃,日本メガケア(株)川越支店,埼玉県川越市大仙波443-1,193830,
〃,カナヤ医科器械(株)北九州(営),福岡県北九州市小倉南区下石田1-5-10,191930,
〃,中嶋メディカルサプライ(株),茨城県那珂市福田1602-1,190971,
〃,冨木医療器(株),石川県金沢市問屋町2丁目46,169444,
〃,井上精機(株),岐阜県岐阜市玉宮町1丁目11,169120,
〃,(有)中央医科器械,鹿児島県鹿児島市東郡元町5-1,163680,
〃,(株)サンライフ,神奈川県相模原市南区相武台3-28-11,143013,
〃,(株)フジタ医科器械,東京都文京区本郷3丁目6-1本郷渡辺ビル,142351,
〃,(株)レオクラン東海,岐阜県岐阜市日野南4-17-13,141922,
〃,五洋医療器(株),広島県福山市明神町2-2-30,136633,
〃,セイコーメディカル(株),和歌山県和歌山市築港6丁目9番地10,135806,
〃,(株)ミヤノメディツクス,広島県福山市吉津町12-5,132998,
〃,(株)ケビンメディカル,東京都文京区湯島4-5-21清水ビル1F,130999,
計,,,,
