科目,相手先名称(氏名),相手先所在地(住所),期末現在高,摘要
売掛金,(株)ヤマダイフーズプロセシング,小樽市銭函3丁目319-1,58065381,
売掛金,オシキリ食品(株),江別市工栄町5番地7,36199903,
売掛金,コープさっぽろ,,5176363,
売掛金,ヒナタフーズ(株),北海道夕張郡由仁町古川73-1,3905716,
売掛金,(株)北辰フーズ,江別市緑町西3丁目1番地1,3592957,
売掛金,(株)菊水,江別市工栄町19番地の6,2973127,
売掛金,(株)菊田食品,江別市錦町13-5,2689068,
売掛金,マルカワ食品(株),札幌市清田区平岡2条1丁目1番1号,2537696,
売掛金,三宝化成工業株式会社東京支店,,2422640,
売掛金,(株)ナカノフーズ,,2085647,
売掛金,(株)札幌パリ,,1704176,
売掛金,道南平塚食品(株),,1600280,
売掛金,(株)アヅマコーポレーション,栃木県宇都宮市,1466652,
売掛金,(有)トータルパック,,1249885,
売掛金,(株)北源,,1141800,
売掛金,(株)PSYCHE,,1117683,
売掛金,諸口,,27892894,
小計,,,155821868,
破産更生債権,大山食品,,32175,5年3月1日破産手続開始
小計,,,32175,
計,,,155854043,
