科目,名称(氏名),所在地(住所),期末現在高,摘要
売掛金,日立グローバルライフソリューションズ(株),栃木市大平町富田800,24847115,
〃,日立ジョンソンコントロールズ空調(株),栃木市大平町富田709-2,452279,レフテクノ
〃,金澤工業(株),古河市女沼1663,1761520,
〃,エレマテック(株),港区三田3-5-27,4589127,
〃,インターワイヤード(株),桐生市東3-1-17,1532755,
〃,(株)サンコー電子,太田市大原町2362,5038102,
〃,日本電産サーボ(株),桐生市相生町4-247-55,12229,
〃,(株)HIPUS,千代田区大手町2-2-1,8883509,
〃,兵藤商事(株),太田市浜町20-39,141571,
〃,(株)丸橋製作所,伊勢崎市柳原町61,2169776,
〃,日立ジョンソンコントロールズ空調(株),栃木市大平町富田800,7946247,
〃,(株)ミクロ電子,比企郡鳩山町鳩ケ丘1-17-4,129261,
〃,佐野工業(株),富士市宮島724-1,585104,
〃,(株)スミトロニクス,千代田区一ツ橋1-2-2住友商事竹橋ビル10F,150195,
計,,,58238790,
