"科目","名称(氏名)","所在地(住所)","期末現在高","摘要"
"売掛金","中央電材株式会社","東京都昭島市昭和町4-1-27","79506",""
"〃","京浜パネル工業株式会社","山形県村山市湯野沢3296","67650",""
"〃","株式会社山形ハーネス","山形県鶴岡市友江字川向25-6","48510",""
"〃","豊電機有限会社","群馬県桐生市相生町4-20-2","31020",""
"〃","エヌ・エー・エス株式会社","神奈川県小田原市中町3-15-15","28380",""
"〃","(株)プロアクテイブ","栃木県足利市田中町905-17","12344",""
"〃","株式会社飛鳥測器","群馬県安中市古屋321-9","11110",""
"〃","緑屋テクノ株式会社","東京都中央区日本橋本町1丁目7番4号岡本ビル6階","10692",""
"〃","(有)岩沢製作所","埼玉県比企郡ときがわ町別所328-1","8360",""
"〃","三岳電器株式会社","群馬県藤岡市中大塚101-3","1353",""
"","売掛金計","","110906952",""
"未収入金","請求締日後消費税等(決算時)","","104928",""
"〃","FVイーストジャパン株式会社","桶川市大字加納180番地","2078",""
"〃","岡本無線電機株式会社","大阪府大阪市浪速区日本橋4丁目8番4号","4832327","FFC残債分"
"〃","(株)イナエステート","東京都杉並区井草5-3-1","25900",""
"","未収入金計","","4965233",""
"計","","","115872185",""
