科目,名称(氏名),所在地(住所),期末現在高,摘要
売掛金,(株)アルファーシステム,摂津市東一津屋3-33-104,96957507,
売掛金,(株)タグチ工業,岡山市北区平野561-1,42321086,
売掛金,(株)トーヨートレーラー,大阪市淀川区西宮原1-4-2,23336091,
売掛金,三起機械(株),東大阪市高井田中5-4-39,19883622,
売掛金,東京製鐵(株),大阪市中央区安土町2-3-13,15785880,
売掛金,池田泉州リース(株),大阪市淀川区宮原4-5-36,9666250,
売掛金,(株)木田鉄工所,大阪市都島区大東町2-13-5,8219907,
売掛金,坂本造機(株),大阪市生野区小路2-11-26,8133831,
売掛金,(株)資生堂,東京都中央区銀座7-5-5,5136242,
売掛金,(有)サン・エンジニアリング,神奈川県相模原市中央区田名3110,5132778,
売掛金,能村機械(株),東大阪市新鴻池町1-25,4795613,
売掛金,(株)ニッパツサービス,神奈川県伊勢原市沼目2-1-49,3326095,
売掛金,(株)マルイ,大東市御領1-9-17,3150645,
売掛金,(株)JISEI,大阪市北区豊崎5-5-41,2949360,
売掛金,H.M.I,東京都千代田区丸の内3-1-1,2799073,
売掛金,(株)吉川機械,門真市四宮4-1-37,2783000,
売掛金,六機社貿易(上海),虫国上海市長寧区中山西路999号華聞国際514室,2682400,
売掛金,モアコスメティックス(株),大阪府堺市美原区木材通4-12-15,2640000,
売掛金,日本シールド・エンクロージャー(株),守口市南寺方東通4-12-22,2409115,
売掛金,(株)勝田製作所,大阪市城東区鳴野西3-3-43,2270528,
売掛金,(株)ナリス化粧品,兵庫県三木市緑ヶ丘本町2-5,2260500,
売掛金,(株)ユタニ,八尾市太田新町4-88,2214111,
売掛金,アイセル(株),八尾市跡部北の町1-2-16,2091306,
売掛金,ソマックス(株),大阪市東成区玉津1-7-17,2062693,
売掛金,蒲田化工(株),大阪市東成区神路3-9-5,1980000,
売掛金,(株)ヨシムラE.N.G,大阪市鶴見区安田4-8-31,1966890,
合計,,,,
