"科目","名称(氏名)","所在地(住所)","期末現在高","摘要"
"売掛金","ケンブリッジフィルターコーポレーション(株)","福岡県福岡市博多区下川端町1-3","31222180",""
"同上","三和空調(株)","福岡県福岡市博多区住吉2丁目11-27","61600",""
"同上","(株)ネオブレイン","宮城県仙台市青葉区一番町1丁目11-9","70400",""
"同上","ミヤムラワークス","下益城郡美里町中郡1690","57750",""
"計","","","31411930",""
"未収入金","宇土税務署","宇土市北段原町15番地","550200","法人税予定納税還符金"
"同上","熊本県","熊本市中央区水前寺6丁目18番1号","192000","法人事業税予定還付"
"同上","同上","同上","4400","法人県民税予定還付"
"同上","宇城市","宇城市松橋町大野85番地","26600","法人市民税予定還付"
"同上","","","370099",""
"計","","","1143299",""
"合計","","","32555229",""
