科目,名称(氏名),所在地(住所),期末現在高,摘要
売掛金,(株)ホギメディカル,東京都港区赤坂2丁目7番7号,10753658,
〃,(株)ベアーメディック,茨城県久慈郡大子町大子1361,4421214,
〃,(株)MMコーポレーション,埼玉県さいたま市北区吉野町1-398-3,3547896,
〃,アスクル(株),東京都江東区辰巳3-8-10,2982065,
〃,アルフレッサメディカルサービス(株),東京都荒川区荒川5-2-6,2751188,
〃,(株)エヒメ医療器,愛媛県松山市立花6丁目1-1,2675126,
〃,(株)琉球光和,沖縄県那覇市西1丁目2-16,2650410,
〃,日本メディカルプロダクツ(株),北海道旭川市豊岡2条4-4-14,2422365,
〃,(株)青木器械店,宮城県仙台市青葉区桜ケ丘6丁目7-6,2223077,
〃,(株)キシヤ,福岡県福岡市東区松島1-41-21,2039399,
〃,(株)カワニシ,岡山県岡山市北区今1丁目4-31,2025280,
〃,(株)アステム,佐賀県鳥栖市幡崎町字牛相1706,2012824,
〃,小西医療器(株),大阪府大阪市中央区内淡路町2-1-5,1785883,
〃,(株)歯愛メディカル,石川県白山市旭丘2-6,1725548,
〃,セントラルメディカル(株),石川県金沢市西念3丁目1-5,1696740,
〃,(株)栗原医療器械店太田物流センター,群馬県太田市東今泉町464番1太田ディストリビューションセンター「MADRE」,1608695,
〃,宮野医療器(株)MSCポートアイランド60買掛,兵庫県神戸市中央区港島南町4-6-1,1576208,
〃,(株)大黒,和歌山県和歌山市手平3-8-43,1556450,
〃,石黒メディカルシステム(株),京都府京都市伏見区竹田中川原町381,1316282,
〃,協和医科器械(株),静岡県静岡市駿河区池田156-2,1230737,
〃,テスコ(株)秋田営業所,秋田県秋田市保戸野千代田町14-25,1036025,
〃,山下医科器械(株)福岡本社,福岡県福岡市博多区下川端町2-1博多座・西銀ビル10階,952028,
〃,サンメディックス(株),東京都中央区晴海1-8-11晴海トリトンスクエアY棟36階,900418,
〃,(株)竹山,北海道札幌市中央区北六条西16-1-5,886843,
〃,(株)ムトウ札幌SPDセンター,北海道札幌市手稲区星置南4-43-8,835197,
〃,グリーンホスピタルサプライ(株),大阪府吹田市春日3-20-8,799777,
計,,,,
