科目,名称(氏名),所在地(住所),期末現在高,摘要
売掛金,石原機械(株)本社,愛知県名古屋市瑞穂塩入町19-12,2684748,
〃,東レ建材(株),東京都中央区日本橋大伝馬町12-2,2605680,
〃,(株)フカガワ本庄営業所,埼玉県本庄市大字下野堂宇開拓619,2594989,
〃,(株)フカガワ戸田営業所,埼玉県戸田市笹目30-2,2560065,
〃,(株)フカガワ神奈川営業所,神奈川県座間市小松原2-18-20,2435551,
〃,東洋アルチタイト産業(株)中部,愛知県名古屋市名東区猪子石3-104,2261248,
〃,(株)トーキン,香川県木田郡三木町井戸1285-1,2176704,
〃,(株)フカガワ千葉営業所,千葉県千葉市稲毛区長沼原町55-2,2175721,
〃,フジモリ産業(株)関東工場,茨城県石岡市柏原6-3,2048607,
〃,フクビ化学工業(株),福井県福井市三十八社町33-66,1976458,
〃,(株)フカガワ鹿児営業所,鹿児島県鹿児島市東開町4-10,1970865,
〃,(株)中川製作所購買課,東京都千代田区岩本町3-7-4TSRビル4階,1915501,
〃,(株)フカガワ新潟営業所,新潟県新潟市北区新崎700,1550967,
〃,その他,,23550710,
,売掛金計,,205450284,
未収入金,STプレス,大韓民国慶尚北道亀尾市山東面鳳山里先端企業5路110-7,46084500,配当金
,未収入金計,,46084500,
計,,,251534784,
