科目,相手先名称(氏名),相手先所在地(住所),期末現在高,摘要
売掛金(運輸),只石組,北海道旭川市東旭川町旭正362番地,2370500,
売掛金(運輸),三共建設,北海道士別市東二条北4丁目,545160,
売掛金(運輸),(株)鉱石運輸,北海道士別市上士別町16線南,114950,
小計,,,3030610,
完成工事未収入金,(株)盛永組,士別市4条通5丁目左10号,9702000,
完成工事未収入金,(株)近藤組,上川郡和寒町字三笠99番地,9365400,
完成工事未収入金,卯城建設,上川郡剣淵町元町15番3号,2476030,
完成工事未収入金,日本甜菜製糖(株),北海道士別市西3条北4丁目382番地,1516900,
完成工事未収入金,士別市立病院,北海道士別市東11条5丁目3029番地1,1200320,
完成工事未収入金,(株)道北補道,北海道士別市東山町3440番地23,906431,
完成工事未収入金,十勝鉄道,北海道帯広市稲田町南9線西13番地1,811800,
完成工事未収入金,士別薬剤師会調剤センター,北海道士別市東11条4丁目3029番地28,264000,
完成工事未収入金,士別市役所,士別市東6条4丁目1番地,163680,
完成工事未収入金,玉運寺,北海道士別市大通東9-41,159684,
完成工事未収入金,幸楽輸送,北海道札幌市清田区清田一条一丁目1番33号,132000,
完成工事未収入金,三野建設(株),北海道士別市東4条5丁目6番地,57475,
完成工事未収入金,瑞祥幼稚園,士別市大通東10丁目41番地1,24750,
小計,,,26780470,
長期未収入金,かわにしの丘しずお農場(株),士別市武徳町46線東3号,1143701458,
計,,,1173512538,
